id,user_id,org_name,slug,org_type,reg_number,description,org_size,email,address,social_media,website,contact_number,contact_person,contact_nos_hod,contact_name_hod,contact_designation_hod,contact_no_focalpoint,contact_name_focalpoint,contact_designation_focalpoint,contact_nos_focalpoint,contact_email_focalpoint,contact_linkedin_focalpoint,staffprofile_active_no,staffprofile_percentage_paid_staff,staffprofile_volunteers_no,primary_activities,main_delivery_mode,existing_profiles,locations,district_id,city_id,status,created_at,updated_at,deleted_at,org_logo,overview,extra_address,uploads,photos,links,track_record,user_name,user_email,organization_type
49,69,"GreenGuard Alliance",greenguardalliance65578b4d53f82,4,123456,"At GreenGuard Alliance, we are the vigilant stewards of our planet's future. Committed to the preservation and restoration of our environment, we stand as a united force against the challenges threatening the delicate balance of nature. Through advocacy, education, and sustainable initiatives, GreenGuard Alliance empowers communities to take meaningful actions for a greener, healthier world. Join us in our mission to safeguard the Earth and inspire a legacy of environmental responsibility for generations to come. Together, we can make a lasting impact on the planet we call home.","11 - 30",encyteworkspace5@gmail.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2023-11-17 15:48:29","2023-11-17 15:48:29",,,,,,,,,"GreenGuard Alliance",encyteworkspace5@gmail.com,"Private sector"
50,70,"GreenGuard Alliance",greenguardalliance65578b866298f,4,123456,"At GreenGuard Alliance, we are the vigilant stewards of our planet's future. Committed to the preservation and restoration of our environment, we stand as a united force against the challenges threatening the delicate balance of nature. Through advocacy, education, and sustainable initiatives, GreenGuard Alliance empowers communities to take meaningful actions for a greener, healthier world. Join us in our mission to safeguard the Earth and inspire a legacy of environmental responsibility for generations to come. Together, we can make a lasting impact on the planet we call home.","11 - 30",encyteworkspace6@gmail.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2023-11-17 15:49:26","2023-11-17 15:49:26",,,,,,,,,"GreenGuard Alliance",encyteworkspace6@gmail.com,"Private sector"
51,71,"GreenGuard Alliance",greenguardalliance6558517a6be2d,2,1234566,"Mihidora supports a culture of open data and collaboration. Researchers who possess or have generated","11 - 30",encyteworkspace7@gmail.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2023-11-18 05:54:02","2023-11-18 05:54:02",,,,,,,,,"GreenGuard Alliance",encyteworkspace7@gmail.com,"Clubs - School or Tertiary"
52,72,"GreenGuard Alliance",turtleassociation655cb95ed3964,4,1234566,mihidora-laravel.test-1,11-30,enc1001@encyte.tech,,,,,,,,,,,,,,,,,,,,,,1000,1000,3,"2023-11-21 14:06:22","2023-11-21 14:06:22",,,,,,,,,"GreenGuard Alliance",enc1001@encyte.tech,"Private sector"
53,73,Enc1002,enc1002655da6cf12fbc,4,1234566,"This is a test organization","31 - 60",enc1002@encyte.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2023-11-22 06:59:27","2023-11-22 06:59:27",,,,,,,,,Enc1002,enc1002@encyte.com,"Private sector"
54,74,Enc1003,enc1003655da95fcf87b,4,1234566,test,"31 - 60",enc1003@encyte.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2023-11-22 07:10:23","2023-11-22 07:10:23",,,,,,,,,Enc1003,enc1003@encyte.com,"Private sector"
55,75,Enc104,enc104655daed19a560,4,1234566,test,"31 - 60",enc1004@encyte.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,1,"2023-11-22 07:33:37","2023-11-22 07:33:37",,,,,,,,,Enc104,enc1004@encyte.com,"Private sector"
56,76,"Org Status Check",orgstatuscheck65c5f84253478,1,1234566,"This is a test organisation","11 - 30",status01@encyteus.com,,,,0718992336,,,,,,,,,,,,,,,,,,1000,1000,3,"2024-02-09 10:02:42","2024-02-09 10:02:42",,,,,,,,,"Org Status Check",status01@encyteus.com,CSO/NGO
57,77,"Org Status Check 02",orgstatuscheck0265c60009bc1ce,2,1234566,"This is a test",,status02@encyteus.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,1,"2024-02-09 12:40:30","2024-05-06 07:56:44",,"[""2024\/02\/0209202412402365c61d37ecdc5.png""]",,,,[],,,"Org Status Check 02",status02@encyteus.com,"Clubs - School or Tertiary"
58,78,"Encyte T01",encytet0165d6d93bbe738,4,1234566,"Test Description","11 - 30",t01@encyte.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,1,"2024-02-22 05:18:51","2024-02-22 05:19:24",,,,,,,,,"Encyte T01",t01@encyte.com,"Private sector"
59,79,"GreenGuard Alliance",greenguardalliance65d704e057292,10,"66//CFDFD//$#L (PVT))","THis is a test description","11 - 30",T02@encyte.com,,,,+962343423234,,,,,,,,,,,,,,,,,,1000,1000,3,"2024-02-22 08:25:04","2024-02-22 08:25:04",,,,,,,,,"GreenGuard Alliance",T02@encyte.com,"International NGO (INGO)"
83,80,ENC105,enc105662b49631b346,1,111111,"Test description","11 - 30",enc105@encyte.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2024-04-26 06:27:47","2024-04-26 06:27:47",,,,,,,,,ENC105,enc105@encyte.com,CSO/NGO
84,81,ENC106,enc106662b4b23bac56,1,111111,"This is a test description","11 - 30",enc106@encyte.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2024-04-26 06:35:15","2024-04-26 06:35:15",,,,,,,,,ENC106,enc106@encyte.com,CSO/NGO
85,82,ENC107,enc107662b4bb742def,1,111111,"Test description","11 - 30",enc107@encyte.com,,,,0117209735,,,,,,,,,,,,,,,,,,1000,1000,3,"2024-04-26 06:37:43","2024-04-26 06:37:43",,,,,,,"link.com/1
link.com/2
link.com/3","track record 1 
track record 2",ENC107,enc107@encyte.com,CSO/NGO
